бязь,"агъ (ди, ар)"
бедро,"агъ (у, ар)"
бродить,"адаркас (адаркай, адаркуна, адарк, адаркуб, адамарка)"
больница,азархана
балкон,"айван (ди, ар)"
белить,"акуранас (акуранди, акуруна, акуран, акуруб, акумурана)"
брить (голову),"алакьас (алакьай, алакьуна, алакь, алакьуб, алмакьа)"
бросать (со зости),"алирхIас (алирхIай, алирхIуна, алирхI, алирхIуб, алмирхIа)"
бросить (со злости),"алирхIас (алирхIай, алирхIуна, алирхI, алирхIуб, алмирхIа)"
Бог,"Аллагь (Аллагьди, -)"
больше,алтухъ
браниться,"алухIанас (алурхIанди, алухIуна, алухIен, алухIуб, алумархIа)"
брань,"алухIуб (а, ар)"
бродить,"аруцас (аруцай, аруцуна, аруц, аруцуб, маруца)"
бредить,"аттрухъас (аттрухъай, аттрухъуна, аттрухъ, аттрухъуб, аттмарухъа)"
бред,аттрухъуб
беседа,ахттилат
бессоница,"ахун атIуб (а, ар)"
быть,"ахьас (вей, ахьуна, ухь, ахьуб, мева)"
бить,"ачирхIас (ачирхIай, ачирхIуна, ачирхI, ачирхIуб, ачимирхIа)"
бок,"багв (багу, багвар)"
близость,багувел
близкий,багунф
богатырь,"багьадур (а, ар)"
бездарный,багIвай
беда,бала
благодарю,баркаллагь
буйволенок,барцIак
блюдце,бушкъаб
будущее,вере вахтт
будущий,вереф
бык,"вец (уна, ар)"
бычий,вецунанф
боб,галун хур
божья коровка,галун хIуни
буйвол,гамиш
безгрешный,гунагьар кидаваф
боязнь,гучI
бояться,гучI хьас
боязливо,гучIай
боясь,гучIай
булавка,гъадахъай
брать,"гъушанас (гъуршанди, гъушуна, гъушен, гъушуб, магъуяна)"
бежать,"гьишас (гьишай, гьишина, гьиш, гьишиб, гьимиша)"
бегать,"гьуккас (гьуккай, гьуккуна, гьукк, гьуккуб, гьумукка)"
бег,"гьуккуб (а, ар)"
болван,"гIабдал (и, ар)"
бездельник,гIаруцай
бродяга,гIаруцай
бродить,"гIаруцас (гIаруцай, гIаруцуна,"
бросать (во что-л),"гIихьас (гIихьай, гIихьуна, гIихь, гIихьуб, гIимихьа)"
бросить (во что-л),"гIихьас (гIихьай, гIихьуна, гIихь, гIихьуб, гIимихьа)"
близнецы,гIудафанар
беззащитный,гIун хъудаваф
бояка,гIурацай
бесстрашно,дагучIай
бесстрашный,дагучIаф
бессмертный,далуькIеф
баранбан,"дамдам (и, ар)"
бубен,дафтт
быстрее,дахи
быстро,дахи
богатсво,"девлет (и, ар)"
богатый,"девлетлу (йи, бур)"
белый,джагварф
берег (каменный),"диргI (а, ар)"
болтун,дургъу сив
бедствие,завал
бедствие,заварин цIа
безвредный,зарар кидаваф
был (являлся),и
благо,"иджвел (ди, ар)"
болезнь,"иттал (и, ар)"
боль,"иттал (и, ар)"
болеть,иттархьас
больной,иттаф
брызгать,"ичас (ичай, ичина, ич, ичиб, имича)"
брызнуть,"ичас (ичай, ичина, ич, ичиб, имича)"
биться (чему-л),"ишас (ишай, ишина, иш, ишиб, имиша)"
брезгливый,йиркIв ккидаваф
беспокоиться,"йиркIв руцас (- руцай, - руцуна, - руц, - руцуб, - маруца)"
бить,"йирхIас (йирхIай, йирхIуна, йирхI, йирхIуб, мирхIа)"
бедный,касиб
бедняк,касиб
браслет,кваниш
безбородый и безусый,квасса
будить,кегъикас
библиотека,китабхана
бормотать,"ккегъургъас (ккегъургъай, ккегъургъуна, ккегъургъ, ккегъургъуб, ккемагъургъа)"
бесконечный,ккидиркIваф
букет,ккунчI
буса,"кулагъ (и, ар)"
бусинка,"кулагъ (и, ар)"
бусы,кулагъар
беспомощный,кумак хъудаваф
бандит,"къачагъ (а, ар)"
бандитский,къачагъаринф
байндитизм,къачагъвел
бок,"къвал (а, ар)"
боковой,къваланф
бутон,къев
блудница,къехIппе
блуд,къехIппевел
берег,"къирагъ (ди, ар)"
береговой,къиракъдинф
безоблачный,къирибур алдаваф
бакенбарды,"кьабуч (а, ар)"
банка,"кьвати (-, бур)"
бессильный,кьуват кидаваф
болван,кIамай
болтун,кIамай
бумага,"кIедж (и, ар)"
бумажный,кIеджинф
бездонный,кIен ккидаваф
бурдюк,кIечI
брод,кIилле ус
бугор,"кIунтI (ала, ар)"
бесчестный,ламус гIадаваф
бурка,лит
безработный,лихун хъудаваф
берлога,"муг (уйи, ар)"
борода,"муджур (и, ар)"
бриться,муджур ккекьас
бесполезный,муфеIет кидаваф
безнадежно,муш кидавай
безнадежный,муш кидаваф
береза,муьрхI
бесстыдный,неч гIадаваф
бесстыжий,неч гIадаваф
брынза,"нис (и, ар)"
бумажник,папушникI
бук,пIирпI
бульон,ракь
бесцветный,ранг адаваф
блеск,рекIв
блестеть,рекIвес
блестящий,рекIвеф
бритва,ругудж
бродить (о вине и т.д.),"рутас (рутай, рутуна, рут, рутуб, марута)"
безусловно,са гъургъубра адавай
бесспорно,са чIалра дагъай
беззубый,силебар адаваф
быстрый,тегIдеф
быстро,тегIди
болтать,"ттуттанас (ттурттанди, ттуттуна, ттуттан, ттуттуб, маттурттана)"
бородавка,тIур
буря,тIурфан
был (находился),уйи
биться,укъас
бороться,укъас
боец,укъаф
борец,укъаф
борьба,укъуб
битва,"укъуб (а, ар)"
бой,"укъуб (а, ар)"
баран,укьар
бровь,унетI
беречь,ухIас
бережливый,ухIаф
бросать,фадихьас
белка,хаз
борозда,хул
бобр,хундуз
безобидный,хъел кидаваф
быть,хьас
бывший,хьеф
бабушка,"хIабаб (а, ар)"
бабушкин,хIабабанф
большой,хIаф
баня,хIемам
бабочка,цIабрахъил
бревно,"цIагъун (и, ар)"
бахрома,цIимилар
башня,цIуд
ботинок,чакма
безвыходность,чара адававел
безвыходный,чара адаваф
брат,"чу (ччуччу, чуппар)"
братсво,"ччуччувел (ди, ар)"
братский,ччуччунф
брюки,"шавлар (и, -)"
бразды,шилIан
бездетная,шиниккв кидаваф
бутылка,шуша
безхозный,эесси хъудаваф
быт,экьуб гъайшиб
бычок,ярд
бессовестный,яхI кидаваф
борьба (поясная),яIар фацуб
беззлобный,Iайвел хъудаваф
брат (старший),Iебай
безжалостный,Iегвалвел хъудаваф
беспощадный,Iегвалвел хъудаваф
боль,Iуьр
видеть,"агвас (аргвай, агуна, -, агуб, -)"
вид,"агуб (а, ар)"
вывернуть (наизнанку),"агъдаркас (агъадркай, агъдаркуна, агъдарк, агъдаркуб, агъмадарка)"
выворачивать (наизнанку),"агъдаркас (агъадркай, агъдаркуна, агъдарк, агъдаркуб, агъмадарка)"
выпучиваться,"агъикIас (агъикIай, агъикIуна, агъикI, агъикIуб, агъимикIа)"
выступать (из чего-л наружу),"агъутIанас (агъуртIанди, агъутIуна, агъутIен, агъутIуб, агъумартIа)"
выступить (из чего-л наружу),"агъутIанас (агъуртIанди, агъутIуна, агъутIен, агъутIуб, агъумартIа)"
вытекать,"адавес (адавей, адайшуна, адаях, адайшуб, адмева)"
вытечь,"адавес (адавей, адайшуна, адаях, адайшуб, адмева)"
волочь (кого-что-л в чем-л),"адаркас (адаркай, адаркуна, адарк, адаркуб, адамарка)"
волочьить (кого-что-л в чем-л),"адаркас (адаркай, адаркуна, адарк, адаркуб, адамарка)"
вывалять (кого-что-л в чем-л),"адаркас (адаркай, адаркуна, адарк, адаркуб, адамарка)"
выволочить (кого-что-л в чем-л),"адаркас (адаркай, адаркуна, адарк, адаркуб, адамарка)"
высыпать (ся),"адахъас (адархъай, адахъуна, адахъ, адахъуб, адмархъа)"
выгнать,"адикас (адикай, адикуна, адик, адикуб, адимика)"
выгонять,"адикас (адикай, адикуна, адик, адикуб, адимика)"
выдворить,"адикас (адикай, адикуна, адик, адикуб, адимика)"
выдворять,"адикас (адикай, адикуна, адик, адикуб, адимика)"
"выпускать (книгу, газету, указ...)",адихьас
"выпустить (книгу, газету, указ...)",адихьас
выйти,"айчIвас (айчIвай, айчIуна, айчIв, айчIуб, амайчIва)"
