agul
"ӏашв (ӏашу, ӏашвар)"
"ӏекв (ӏеку, -)"
"Аллагь (Аллагьди, -)"
"абаб (абаба, абабар)"
"агӏай (агӏайи, агӏаяр)"
"адад (адада, ададар)"
"адждагьа (аджагьайи, аджагьабур)"
"асхъай (асхъайи, асхъаяр)"
"ахв (аху, ахвар)"
"багв (багу, багвар)"
"будай (буди, будаяр)"
"ваз (вазала/вазура, вазар)"
"гӏалашуй (гӏалашува, гӏалашувар/гӏулар)"
"гӏедат (гӏедати, гӏедатар)"
"гаф (гафуни/гафтти, гафар)"
"гъуй (гъвара, гъурур)"
"дар (дара, дарар)"
"делекчи (делекчи, делекчибур)"
"джан (джанди, -)"
"джаннат (джаннати, -)"
"джикас (джикай, джикуна, джик, джикуб, маджика)"
"емиш (емиша, емишар)"
"йиркӏв (йиркӏура, йиркӏвар)"
"кӏен (кӏена, -)"
"ккабалай (ккабали, ккабалаяр)"
"кьур (кьвара, -)"
"лихъванас (лихъванди, лихъуна, лихъван, лихъуб, малирхъвана)"
"мекӏ (микӏила, мекӏер)"
"мерккв (мерккура, меркквар)"
"мехъв (мехъуь, мехъвар)"
"рехӏет (рехӏетти, -)"
"руш (руша, рушар/шибер)"
"сеӏет (сеӏетти, сеӏетар)"
"хӏуб (хӏуппа, хӏуппар)"
"хӏуькумат (хӏуькуматти, хӏуькуматар)"
"хал (хула, хулар)"
"ху (хуйи, хуппар)"
"хумбеф (хумбетти, хумбар)"
"хъехъв (хъехъуь, хъехъвер)"
"хьид (хьиди, -)"
"хьиджарбаб (хьиджарбаба, хьиджарбабар)"
"хьиджардад (хьиджардада, хьиджардадар)"
"хьир (хьира, хумбар)"
"цӏа (цӏи, цӏабур)"
"цал (цили, цилар)"
"чи (ччиччи, чияр)"
"чу (ччуччу, чуппар)"
"шуй (шува, шувар)"
"яхв (яху, яхвар)"
