agul,rus
"ӏаб (а/ала, ар)",люлька
"ӏатӏуб (а, ар)",пробор
"ӏачӏ (а, ар)",щель
"ӏевам (и, ар)",неуч
"ӏекьул (ди, -)",ум
"ӏелим (ди, ар)",ученый
"ӏемал (ди, ар)",обман
"ӏешал (и, ар)",плач
"ӏурд (и, -)",зима
"ӏучал (и, ар)",развилка
"ӏуькӏ (и, ер)",трава
"ӏуьмур (ди, ар)",жизнь
"ӏуьрдеккен (ди, ар)",подушка
"ӏуьтӏуб (а, ар)",еда
"ӏуьш (а, ар)",ночь
"абанкьул (и, ар)",лоб
"агуб (а, ар)",вид
"агъ (ди, ар)",бязь
"агъ (у, ар)",бедро
"агъу (йи, вур)",яд
"ад (у, ар)",голень
"айван (ди, ар)",балкон
"айгъур (а, ар)",жеребец
"алат (и, ар)",инструмент
"алучӏуб (а, ар)",попытка
"арс (ура, -)",серебро
"аслан (ди, ар)",лев
"атӏуб (а, ар)",граница
"ахсар (и, ар)",заря
"ахтта (йи, вур)",мерин
"ахттигьар (ди, ар)",право
"ахттилатчи (-, вур)",собеседник
"ахун (и, ар)",сон
"ахъихьуб (а, ар)",включение
"ачӏ (а, ар)",ущелье
"аш (уни, ар)",каша
"ашкӏин (ди, ар)",вдова
"баб (а, ар)",мать
"багам (и, ар)",утро
"багниш (и, ар)",медведь
"багур (а, ар)",дурак
"багъ (ди, ар)",сад
"багъ (у, ар)",лента
"багъдихъан (ди, ар)",садовник
"багьадур (а, ар)",богатырь
"бадра (йи, вур)",ведро
"бармак (и, ар)",папаха
"беӏ (уь, ер)",лапа
"бегӏли (-, вур)",вишня
"берхӏем (и, ар)",платье
"бизи (-, вур)",сосок
"бишикӏ (и, ар)",ласточка
"бугъ (у, -)",пар
"бугьу (йи, вур)",сова
"булах (и, ар)",родник
"вурдж (уни, ар)",долг
"вакк (ала, ар)",свинья
"вакъ (ала, ар)",чаша
"ватан (ди, -)",родина
"вахтт (уни, ар)",время
"вев (у, ер)",крик
"вец (уна, ар)",бык
"гӏабдал (и, ар)",болван
"гӏад (ура, ар)",звезда
"гӏан (а, ар)",нутро
"гӏаттивуб (а, ар)",выбор
"гӏафна (йи, вур)",огурец
"гӏелим (ди, ар)",ученый
"гӏилми (-, вур)",наука
"гӏихьуб (а, ар)",вклад
"гӏуб (ура, ар)",лягушка
"гӏуд (ура, ар)",куропатка
"гӏул (и, ар)",лето
"гӏур (а, ар)",заяц
"гӏурч (а, ар)",охота
"гӏурчахъан (ди, ар)",охотник
"гавгьар (и, ар)",жемчуг
"газа (йи, вур)",кирка
"гал (у, ар)",равнина
"гап (у, ар)",ладонь
"гардан (ди, ар)",шея
"гаш (и, -)",голод
"гвадж (а, ар)",затылок
"гилегв (и, ар)",ключ
"гим (и, ар)",годекан
"гирав (и, ар)",залог
"гирген (и, ар)",моток
"гитан (и, ар)",кошка
"гуг (у, ар)",череп
"гугурт (и, -)",сера
"гунагь (и, ар)",грех
"гуни (-, вар)",хлеб
"гур (а, ар)",миска
"гъаб (ала, ар)",охапка
"гъавур (ди, -)",понимание
"гъад (ала, ар)",молоток
"гъазеттар (и, -)",зелень
"гъалатӏ (и, ар)",ошибка
"гъам (уни, ар)",горе
"гъара (йи, вур)",грабеж
"гъараг (и, ар)",ожерелье
"гъарачи (-, вур)",грабитель
"гъвад (и, ар)",потолок
"гъван (ди, ар)",камень
"гъил (и, ар)",рука
"гъилив (и, ар)",рукав
"гъун (а, ар)",склон
"гъурагъал (и, ар)",яйцо
"гъурбат (и, -)",чужбина
"гъургъуб (а, ар)",разговор
"гъурд (ала, ар)",кулак
"гъурт (у, ар)",пена
"гъуч (у, ар)",штык
"гьава (йи, вур)",настроение
"гьеч (и, ар)",яблоко
"гьудуркӏуб (а, ар)",недостаток
"гьуккуб (а, ар)",бег
"гьунар (и, ар)",доблесть
"гьучархьеб (а, ар)",встреча
"дабакь (и, ар)",ящур
"дабан (и, ар)",каблук
"дагьар (и, ар)",скала
"дагьра (йи, вур)",секач
"дагьур (и, ар)",серп
"дад (а, ар)",отец
"дайиб (а, ар)",отказ
"дакьикьа (йи, вур)",минута
"далил (и, ар)",аргумент
"дамдам (и, ар)",баранбан
"дан (ди, ар)",религия
"дарагъадж (и, ар)",виселица
"дарамат (и, ар)",здание
"дард (уни, ар)",горе
"дарман (и, ар)",лекарство
"дарс (уни, ар)",урок
"дарчин (и, ар)",корица
"дасмал (и, ар)",полотенце
"дафттар (и, ар)",тетрадь
"деве (йи, вур)",верблюд
"дегӏви (-, вур)",война
"джегьенем (ди, -)",ад
"джемеӏет (и, ар)",община
"джил (и, ар)",голос
"джихер (и, ар)",груша
"джуваб (а, ар)",ответ
"диф (ура, ар)",туман
"дукӏ (у, ар)",просо
"дуканчи (-, вур)",лавочник
"дурахал (ди, ар)",ножовка
"дуруц (и, ар)",соха
"дурхӏуб (а, ар)",развлечение
"дустт (ура, ар)",друг
"дусттагъ (и, ар)",тюрьма
"духттур (и, ар)",врач
"дуч (у, ар)",вязанка
"душман (ди, ар)",враг
"дуьнйа (йи, вур)",вселенная
"дуьхӏуьб (и, ар)",сустав
"зав (у, ар)",небо
"зарафатчи (-, вур)",шутник
"зерфел (и, ар)",решето
"зерфел (и, ар)",сито
"ивур (и, ар)",ухо
"ивурихъан (ди, ар)",серьга
"ибхь (и, ер)",снег
"ибцӏел (и, ар)",стружка
"игит (и, ар)",герой
"игитвел (ди, -)",геройство
"идара (йи, вур)",учреждение
"идеми (-, ар)",мужчина
"иджвел (ди, ар)",благо
"илан (ди, ар)",змея
"илдеш (и, ар)",товарищ
"иллевел (ди, -)",мужество
"иллеф (илетти, илар)",мужчина
"инсан (ди, ар)",человек
"инсанвел (ди, -)",человечность
"ис (а, ар)",год
"исал (и, ар)",теснина
"иттал (и, ар)",болезнь
"иттал (и, ар)",заболевание
"иф (а, -)",медь
"ифул (и, ар)",дрожь
"ицӏул (и, ар)",запястье
"ишан (ди, ар)",знак
"ишан (ди, ар)",метка
"ишкилчи (-, вур)",художник
"иъ (и, ер)",кровь
"йирхӏуб (а, ар)",удар
"кӏапӏал (и, ар)",группа
"кӏаш (ала, ар)",палка
"кӏеб (а, ар)",смерть
"кӏедж (и, ар)",амулет
"кӏетӏа (йи, вур)",лопата
"кӏил (и, ар)",вершина
"кӏиркӏ (а, ар)",мальчик
"кӏунтӏ (ала, ар)",бугор
"кӏур (а, ар)",санажнец
"кӏур (ани, ар)",дерево
"кӏурар (и, -)",дрова
"кӏучӏ (ала, ар)",пуговица
"кавха (йи, вур)",староста
"кантӏ (ала, ар)",нож
"кар (ди, ар)",дело
"кедихьуб (а, ар)",выкидыш
"келпит (и, ар)",спичка
"келхъуьб (а, ар)",издевка
"кепек (и, ар)",копейка
"кируцуб (а, ар)",прогулка
"кквахӏ (у, ар)",крюк
"ккекк (ела, ер)",петух
"ккел (а, ар)",ягненок
"кулагъ (и, ар)",буса
"кулак (и, ар)",ветер
"кум (а, -)",дым
"кум (а, -)",копоть
"кумак (и, ар)",помощь
"кумакчи (-, вур)",помощник
"кутӏул (и, ар)",веточка
"кутӏул (и, ар)",прутик
"куц (а, -)",внешность
"куьча (йи, вур)",улица
"къаб (у, ар)",посудина
"къавахӏан (ди, ар)",замечание
"къайда (йи, вур)",порядок
"къала (йи, вур)",крепость
"къапувур (и, -)",ворота
"къаравул (ди, ар)",караул
"къари (-, вур)",старуха
"къатир (и, ар)",лошак
"къафлан (ди, ар)",тигр
"къачагъ (а, ар)",бандит
"къвал (а, ар)",бок
"къваркъв (а, ар)",лукошко
"къвац (ала, ар)",копыто
"къемч (у, ар)",осленок
"къемчи (-, вур)",кнут
"къизил (ди, -)",золото
"къирагъ (ди, ар)",берег
"къири (-, вур)",облако
"къуджа (йи, вур)",старец
"къунши (-, вур)",сосед
"къургъушум (ди, -)",свинец
"къух (у, ар)",трахея
"къучма (йи, вур)",подруга
"къушум (ди, ар)",войско
"кьаабчи (-, вур)",мясник
"кьаб (у, ар)",опора
"кьабуч (а, ар)",бакенбарды
"кьал (и, ар)",стебелек
"кьастт (уни, ар)",замысел
"кьасу (йи, вур)",весло
"кьвани (-, вур)",короб
"кьел (кьела, -)",соль
"кьибла (йи, -)",юг
"кьулбан (ди, ар)",жертва
"кьун (а, ар)",козел
"кьуркь (а, ар)",горло
"кьуркь (а, ар)",лебедь
"кьутӏур (и, ар)",пирог
"лек (у, ар)",нога
"лекар (и, -)",обувь
"лиӏ (ура, ер)",орел
"лихун (и, ар)",занятие
"лихъун (и, ар)",танец
"лукӏ (у, ар)",слуга
"луф (ура, ар)",голубка
"луькӏеб (а, ар)",смерть
"ма пеб (а, ар)",предложение
"мав (у, -)",сало
"магӏишат (и, ар)",хозяйство
"маджал (и, ар)",досуг
"майдан (ди, ар)",площадь
"маккал (и, ар)",серп
"мактаб (и, ар)",школа
"макьала (йи, вур)",статья
"макьалачи (-, вур)",корреспондент
"малайик (ди, ар)",ангел
"малла (йи, вур)",мулла
"маркв (марку, маркар)",стог
"мархал (и, ар)",лавина
"мац (а, ар)",камин
"мац (а, ар)",очаг
"мегӏелим (ди, ар)",учитель
"мегӏна (йи, -)",значение
"мегӏни (-, вур)",песня
