agul,rus
азархана,больница
аттрухъуб,бред
ахттилат,беседа
багувел,близость
бала,беда
барцIак,буйволенок
бушкъаб,блюдце
вере вахтт,будущее
галун хур,боб
галун хIуни,божья коровка
гамиш,буйвол
гучI,боязнь
гъадахъай,булавка
гIаруцай,бездельник
гIаруцай,бродяга
гIудафанар,близнецы
гIурацай,бояка
дафтт,бубен
дургъу сив,болтун
завал,бедствие
заварин цIа,бедствие
касиб,бедняк
кваниш,браслет
китабхана,библиотека
ккунчI,букет
кулагъар,бусы
къачагъвел,байндитизм
къваланф,боковой
къев,бутон
къехIппе,блудница
къехIппевел,блуд
кIамай,болван
кIамай,болтун
кIечI,бурдюк
кIилле ус,брод
лит,бурка
лихун хъудаваф,безработный
муьрхI,береза
папушникI,бумажник
пIирпI,бук
ракь,бульон
рекIв,блеск
ругудж,бритва
тIур,бородавка
тIурфан,буря
укъаф,боец
укъаф,борец
укъуб,борьба
укьар,баран
унетI,бровь
хаз,белка
хул,борозда
хундуз,бобр
хIабабанф,бабушкин
хIемам,баня
цIабрахъил,бабочка
цIимилар,бахрома
цIуд,башня
чакма,ботинок
чара адававел,безвыходность
шилIан,бразды
шуша,бутылка
экьуб гъайшиб,быт
ярд,бычок
Iуьр,боль
алчархьеб,встреча
аттвере ус,выход
ачаверевус,вход
бурджуни,в долг
вартт,верх
варттал алеф,всевышний
верш ис,век
гьававел,высота
гIав,вымя
гIанцI,вой
гIерекьи,водка
гIихьаф,вкладчик
гIуьбехъ,вечер
даран вакк,вепрь
джалла ягIаф,всезнайка
джикал,вьюга
джуьре,вид
душманвел,вражда
зав куран гIад,Венера
зарар,вред
зузрзуб,вибрация
истти,весь год
ичира,все таки
йиркIвар лекIер,внутренности
йицIудра,вдесетяром
кеттивуб,вычитание
кканчч,выступ
кул,ветка
курц,вареник
къакъ,вьюк
къвагIанай,ворон
къикъевел,вес
кьисас,возмездие
кьиф,воронка
кьулар,весы
кIил дивуб,визит
кIукI,верхушка
кIукI,вершина
ларз,веранда
лепе,волна
лит,войлок
машрикь,восток
мум,воск
мункинвел,вероятность
мункинвел,возможность
муфеIет,выгода
мучIаъ,во тьме
мучIинан къулгун,вечерняя молитва
нетт,вошь
рагъ фагъучIа багв,восток
рагъ фагъучIуб,восход
сатти,в одиночку
суьхIуьр,волшебство
суьхIуьрчи,волшебник
таб,вена
тадж,венец
тахсир,вина
тереб,ветер
тталат,вторник
ттиъ,в этом году
тIамтIам,веснушка
тIафал,вор
тIегIем,вкус
тIем,вкус
тIил,веревка
тIубруц,вертушка
тIубруц,волчок
тIубруч,веретено
улин къарк,веко
хайир,выгода
халджак,веник
хуттул,внук
хуттул,внучка
хъадикIиб,воровство
хъаттрикI,вор
хъугъувел,вера
хьед,вода
хьеттинф,водянной
хьириг,веник
хьурхьур,волдырь
хьухьал,варежка
хIав,ворот
хIав,воротник
хIавел,власть
хIейвандил алеф,всадник
цац,в прошлом году
чара,возможность
чехир,вино
чIаранф,волосянной
чIирхIе ниъ,вонь
шейъ,вещь
шиш,вилка
эл,воздух
элхIед,воскресенье
яш,возраст
Iаш,влага
Iекунин гIад,венера
Iуй,вилка
Iуй,вилы
