agul,rus
"агъ (ди, ар)",бязь
"агъ (у, ар)",бедро
"айван (ди, ар)",балкон
"Аллагь (Аллагьди, -)",Бог
"алухӏуб (а, ар)",брань
"ахун атӏуб (а, ар)",бессоница
"багв (багу, багвар)",бок
"багьадур (а, ар)",богатырь
"вец (уна, ар)",бык
"гьуккуб (а, ар)",бег
"гӏабдал (и, ар)",болван
"дамдам (и, ар)",баранбан
"иджвел (ди, ар)",благо
"иттал (и, ар)",болезнь
"иттал (и, ар)",боль
"кулагъ (и, ар)",буса
"кулагъ (и, ар)",бусинка
"къачагъ (а, ар)",бандит
"къвал (а, ар)",бок
"къирагъ (ди, ар)",берег
"кьабуч (а, ар)",бакенбарды
"кьвати (-, бур)",банка
"кӏедж (и, ар)",бумага
"кӏунтӏ (ала, ар)",бугор
"муг (уйи, ар)",берлога
"муджур (и, ар)",борода
"нис (и, ар)",брынза
"укъуб (а, ар)",битва
"укъуб (а, ар)",бой
"хӏабаб (а, ар)",бабушка
"цӏагъун (и, ар)",бревно
"чу (ччуччу, чуппар)",брат
"шавлар (и, -)",брюки
"агуб (а, ар)",вид
"ахъихьуб (а, ар)",включение
"ашкӏин (ди, ар)",вдова
"ашкӏин (ди, ар)",вдовец
"бадра (йи, бур)",ведро
"бегӏли (-, бур)",вишня
"вахтт (уни, ар)",время
"вев (у, ер)",визг
"вев (у, ер)",вопль
"вец (уна, ар)",вол
"гьава (йи, бур)",воздух
"гьучархьеб (а, ар)",встреча
"гӏан (а, ар)",внутренность
"гӏаттивуб (а, ар)",выбор
"гӏихьуб (а, ар)",вклад
"дарагъадж (и, ар)",виселица
"деве (йи, бур)",верблюд
"дегӏви (-, бур)",война
"духттур (и, ар)",врач
"дуч (у, ар)",вязанка
"душман (ди, ар)",враг
"дуьнйа (йи, бур)",вселенная
"зад (у, ар)",вещь
"кедихьуб (а, ар)",выкидыш
"кулак (и, ар)",ветер
"кутӏул (и, ар)",веточка
"куц (а, -)",внешность
"къапубур (и, -)",ворота
"къушум (ди, ар)",войско
"кьасу (йи, бур)",весло
"кӏил (и, ар)",вершина
"суал (и, ар)",вопрос
"тӏибитӏ (и, ар)",виноград
"хабарчи (йи, бур)",вестник
"хъветт (ала, ар)",ворон
"хъветт (ала, ар)",ворона
"хьид (хьиди, -)",весна
"хӏуч (а, ар)",волк
"чӏар (а, ар)",волос
"чӏир (и, ар)",выгон
"эесси (-, бур)",владелец
"ад (у, ар)",голень
"атӏуб (а, ар)",граница
"гаш (и, -)",голод
"гим (и, ар)",годекан
"гунагь (и, ар)",грех
гъам (уни: ар),горе
гъам (уни: ар),горесть
"гъара (йи, бур)",грабеж
"гъарачи (-, бур)",грабитель
"гӏалашуй (гӏалашува, гӏалашувар / гӏулар)",гость
"дард (уни, ар)",горе
"джил (и, ар)",голос
"джихер (и, ар)",груша
"игит (и, ар)",герой
"игитвел (ди, -)",геройство
"ис (а, ар)",год
"кьуркь (а, ар)",горло
"кӏапӏал (и, ар)",группа
"кӏил (и, ар)",голова
"луф (ура, ар)",голубка
"луф (ура, ар)",голубь
"муг (уйи, ар)",гнездо
"муул (и, ар)",губа
"мухур (и, ар)",грудь
пут (ар),грива
"рагӏ (у, ар)",гребень
"рагӏ (у, ар)",гребешок
"ратт (и, ар)",гумно
"руг (у, ар)",грунт
"сув (а, ар)",гора
"тӏакьв (а, -)",грязь
"ул (и, ар)",глаз
"хибхел (и, ар)",град
"хъадикӏиб (а, ар)",грабеж
"хӏуькумат (хӏуькуматти, хӏуькуматар)",государство
"чӏигъанчи (-, бур)",гармонист
"шагьур (ди, ар)",город
"адад (адада, ададар)",дядя
"адждагьа (аджагьайи, аджагьабур)",дракон
"багур (а, ар)",дурак
"багур (а, ар)",дурень
"бурдж (уни, ар)",долг
"гьунар (и, ар)",доблесть
"гӏан (а, ар)",двор
"гӏурч (а, ар)",дичь
"далил (и, ар)",довод
"дар (дара, дарар)",дубина
"дустт (ура, ар)",друг
"духттур (и, ар)",доктор
"иджвел (ди, -)",доброта
"иджвел (ди, ар)",дар
"ифул (и, ар)",дрожь
"кар (ди, ар)",дело
"кум (а, -)",дым
"кӏен (кӏена, -)",дно
"кӏур (ани, ар)",дерево
"кӏур (ани, ар)",древо
"кӏурар (и, -)",дрова
